date,gold_futures,silver_futures,gold_spot,silver_spot,gold_premium_pct,silver_premium_pct,gold_signal,silver_signal,gold_mean_20,gold_std_20,silver_mean_20,silver_std_20,gold_zscore,silver_zscore,gold_signal_z,silver_signal_z
2022-07-29,1762.9000244140625,20.1560001373291,1766.269862367,20.357500012,-0.19078839676410633,-0.989806580140591,HOLD,HOLD,-0.20530536733319313,0.2873197307300638,-0.6837828279696765,0.7251111043249084,0.050525491347913926,-0.42203705107485306,HOLD,HOLD
2022-08-01,1769.0,20.32200050354004,1771.8498768299,20.3229999827,-0.16084189000249216,-0.004917970579208232,HOLD,HOLD,-0.18125722800622993,0.26836532635904475,-0.6195548717157984,0.7255278840479296,0.07607293490823094,0.8471582066665079,HOLD,HOLD
2022-08-02,1771.0999755859375,20.104999542236328,1757.5801355481,19.878999986,0.7692303619272107,1.136875881057853,HOLD,SELL,-0.12596610521808443,0.3392355641993893,-0.5216899352963121,0.822530550709,2.6388638504279407,2.016418496461346,SELL,SELL
2022-08-03,1758.0,19.864999771118164,1764.0999658999,20.0026499911,-0.3457834599973133,-0.6881599190261408,HOLD,HOLD,-0.12958869008728646,0.34127278504197467,-0.5285194428107043,0.8233583423273909,-0.6334954891976988,-0.19388942579263854,HOLD,HOLD
2022-08-04,1788.5,20.099000930786133,1792.7399053505,20.2100000082,-0.2365042099997835,-0.5492284877230676,HOLD,HOLD,-0.1357240815976083,0.3420760021083228,-0.5286754480718672,0.8233621459636361,-0.2946132665870606,-0.024962332494829324,HOLD,HOLD
2022-08-05,1772.9000244140625,19.819000244140625,1774.8799116252,19.8689999874,-0.11155048846795766,-0.2516470043337926,HOLD,HOLD,-0.1360498392635484,0.3420483402459315,-0.5034593739568051,0.8237572735912779,0.07162540469565151,0.30568758261180917,HOLD,HOLD
2022-08-08,1786.800048828125,20.59199905395508,1789.2198786623,20.7126999796,-0.1352449669843951,-0.5827387340317631,HOLD,HOLD,-0.1314504676127764,0.34137551312611547,-0.5263104737581019,0.8190526341538324,-0.011115323817080204,-0.06889454709092968,HOLD,HOLD
2022-08-09,1794.0,20.45800018310547,1793.7898636164,20.5059999859,0.011714659997930464,-0.23407686934329916,HOLD,HOLD,-0.12286947870686735,0.34277670324759263,-0.5330983034473321,0.8158753939280898,0.3926291881265505,0.3665038023323305,HOLD,HOLD
2022-08-10,1795.5999755859375,20.718000411987305,1791.2101021384,20.5758000189,0.24507864500633675,0.6911050503829016,HOLD,HOLD,-0.11566921513441779,0.34918099983352446,-0.4943665054233962,0.8557532993226363,1.0331256864283702,1.3852959220194032,HOLD,HOLD
2022-08-11,1789.699951171875,20.326000213623047,1787.6401487531,20.2687000075,0.11522466757147648,0.28270291682171383,HOLD,HOLD,-0.09086094825581333,0.34696079563485277,-0.40733779596121894,0.8409886413362915,0.5939737815340315,0.8205113349527414,HOLD,HOLD
2022-08-12,1798.5999755859375,20.677000045776367,1801.5998927688,20.8184999786,-0.1665140631337393,-0.6796836129840458,HOLD,HOLD,-0.08507029411491802,0.34455520800216394,-0.4014760987648331,0.8385353354229177,-0.23637364093567775,-0.33177792570768405,HOLD,HOLD
2022-08-15,1781.4000244140625,20.250999450683597,1779.229945721,20.2219999874,0.12196729817197371,0.1434055152886269,HOLD,HOLD,-0.08102079110869907,0.3465845496169594,-0.41783156059534343,0.8236908775480689,0.585681299137577,0.6813685706398,HOLD,HOLD
2022-08-16,1773.199951171875,20.065000534057617,1775.3998466765,20.1206000194,-0.12390986226246803,-0.2763311496117202,HOLD,HOLD,-0.08590110922182626,0.34646069808330626,-0.4023087232064088,0.8232644751972897,-0.10970581439948086,0.15302199644227205,HOLD,HOLD
2022-08-17,1760.300048828125,19.711000442504883,1763.7300209073,19.8035000088,-0.19447262554450417,-0.4670869606585398,HOLD,HOLD,-0.10740605349911925,0.33871459523202546,-0.4101525421705568,0.823088124997157,-0.2570499567216547,-0.0691717165621599,HOLD,HOLD
